LoanID,CustomerID,CIBIL_Score,Annual_Income_INR,Employment_Type,Vehicle_Model,Loan_Amount_INR,Interest_Rate_Pct,Tenure_Months,Monthly_EMI_INR,FOIR_Pct,NPA_Probability,Risk_Category
900377,100377,769,1608491,Salaried,Toyota Innova Hycross (Hybrid MPV),2297106,10.13,60,48953,0.365,0.2206,Low Risk (Safe)
900378,100378,738,1953099,Salaried,Maruti Suzuki Swift (Hatchback),637716,10.23,72,11888,0.073,0.0892,Low Risk (Safe)
900379,100379,828,868140,Salaried,Maruti Suzuki Swift (Hatchback),597543,8.51,60,12262,0.169,0.0949,Low Risk (Safe)
900380,100380,693,1406720,Self-Employed Professional,Tata Nexon EV (Electric SUV),1372655,11.36,36,45173,0.385,0.3664,Low Risk (Safe)
900381,100381,692,3725338,Self-Employed Professional,Honda City (Premium Sedan),1359025,11.75,72,26392,0.085,0.2169,Low Risk (Safe)
900382,100382,703,3800000,Salaried,Maruti Suzuki Swift (Hatchback),678183,11.41,48,17663,0.056,0.0972,Low Risk (Safe)
900383,100383,634,1111374,Salaried,Maruti Suzuki Swift (Hatchback),596715,14.26,72,12378,0.134,0.1686,Low Risk (Safe)
900384,100384,706,1581911,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1635278,11.7,48,42822,0.325,0.3303,Low Risk (Safe)
900385,100385,695,2159693,Salaried,Tata Nexon EV (Electric SUV),1433047,11.09,60,31222,0.173,0.1594,Low Risk (Safe)
900386,100386,736,2556343,Salaried,Honda City (Premium Sedan),1238977,10.37,72,23184,0.109,0.1081,Low Risk (Safe)
900387,100387,745,1403834,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),637790,9.67,84,10479,0.09,0.1944,Low Risk (Safe)
900388,100388,814,2766887,Self-Employed Professional,Mahindra XUV700 (Premium SUV),2003332,8.63,60,41227,0.179,0.2064,Low Risk (Safe)
900389,100389,772,1688562,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),646483,10.13,72,12019,0.085,0.1792,Low Risk (Safe)
900390,100390,704,2173938,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),635460,11.86,48,16690,0.092,0.2147,Low Risk (Safe)
900391,100391,689,2959279,Salaried,Toyota Innova Hycross (Hybrid MPV),2467861,12.16,72,48452,0.196,0.1738,Low Risk (Safe)
900392,100392,752,2199041,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1806149,10.39,60,38722,0.211,0.2516,Low Risk (Safe)
900393,100393,670,1723706,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1596956,11.39,48,41577,0.289,0.3292,Low Risk (Safe)
900394,100394,812,2063088,Salaried,Hyundai Venue (Compact SUV),944187,8.92,60,19563,0.114,0.0749,Low Risk (Safe)
900395,100395,783,2087338,Salaried,Tata Nexon EV (Electric SUV),1280756,9.17,48,31975,0.184,0.1235,Low Risk (Safe)
900396,100396,708,1787795,Salaried,Tata Nexon EV (Electric SUV),1490331,12.39,60,33446,0.224,0.1788,Low Risk (Safe)
900397,100397,652,1900565,Salaried,Honda City (Premium Sedan),1404733,12.35,48,37233,0.235,0.2107,Low Risk (Safe)
900398,100398,790,3800000,Self-Employed Professional,Hyundai Venue (Compact SUV),1033407,8.9,60,21401,0.068,0.1622,Low Risk (Safe)
900399,100399,724,2983195,Self-Employed Professional,Hyundai Venue (Compact SUV),906183,10.02,84,15053,0.061,0.1898,Low Risk (Safe)
900400,100400,785,1862603,Salaried,Hyundai Venue (Compact SUV),854813,9.08,36,27214,0.175,0.1181,Low Risk (Safe)
900401,100401,658,3214958,Salaried,Mahindra XUV700 (Premium SUV),1963463,11.16,60,42847,0.16,0.1704,Low Risk (Safe)
900402,100402,703,1823738,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),849774,11.52,60,18697,0.123,0.2307,Low Risk (Safe)
900403,100403,730,3800000,Salaried,Honda City (Premium Sedan),1405196,9.66,84,23081,0.073,0.093,Low Risk (Safe)
900404,100404,732,2685300,Salaried,Hyundai Venue (Compact SUV),865387,9.71,60,18263,0.082,0.0965,Low Risk (Safe)
900405,100405,709,2065708,Salaried,Kia Seltos (Mid-Size SUV),1400968,12.42,60,31461,0.183,0.1579,Low Risk (Safe)
900406,100406,758,2803121,Salaried,Maruti Suzuki Swift (Hatchback),623495,9.67,60,13146,0.056,0.0713,Low Risk (Safe)
900407,100407,681,923585,Salaried,Mahindra XUV700 (Premium SUV),1901255,11.56,48,49657,0.645,0.402,Low Risk (Safe)
900408,100408,723,1179118,Salaried,Honda City (Premium Sedan),1363398,10.13,36,44076,0.449,0.2843,Low Risk (Safe)
900409,100409,735,1136360,Salaried,Maruti Suzuki Swift (Hatchback),630947,10.48,60,13555,0.143,0.1256,Low Risk (Safe)
900410,100410,753,2370517,Salaried,Honda City (Premium Sedan),1176230,9.83,36,37859,0.192,0.1416,Low Risk (Safe)
900411,100411,762,3800000,Salaried,Tata Nexon EV (Electric SUV),1325679,9.62,60,27919,0.088,0.0854,Low Risk (Safe)
900412,100412,679,3800000,Salaried,Honda City (Premium Sedan),1277734,11.61,60,28171,0.089,0.125,Low Risk (Safe)
900413,100413,660,3112472,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2260523,11.31,60,49499,0.191,0.2849,Low Risk (Safe)
900414,100414,787,2886237,Self-Employed Professional,Hyundai Venue (Compact SUV),959564,9.09,48,23919,0.099,0.1791,Low Risk (Safe)
900415,100415,744,813757,Salaried,Maruti Suzuki Swift (Hatchback),647362,10.12,84,10787,0.159,0.1294,Low Risk (Safe)
900416,100416,696,1625830,Salaried,Hyundai Venue (Compact SUV),982234,12.04,72,19223,0.142,0.1435,Low Risk (Safe)
900417,100417,799,1420783,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),703155,9.12,48,17538,0.148,0.198,Low Risk (Safe)
900418,100418,735,1557408,Salaried,Maruti Suzuki Swift (Hatchback),699338,9.59,60,14718,0.113,0.1106,Low Risk (Safe)
900419,100419,783,1997727,Salaried,Maruti Suzuki Swift (Hatchback),704411,8.72,60,14526,0.087,0.075,Low Risk (Safe)
900420,100420,733,1690187,Self-Employed Professional,Tata Nexon EV (Electric SUV),1318256,10.23,36,42678,0.303,0.3066,Low Risk (Safe)
900421,100421,822,737768,Self-Employed Non-Professional,Kia Seltos (Mid-Size SUV),1358547,8.65,60,27970,0.455,0.3407,Low Risk (Safe)
900422,100422,808,3306334,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),607841,8.77,48,15059,0.055,0.1473,Low Risk (Safe)
900423,100423,718,1214680,Salaried,Maruti Suzuki Swift (Hatchback),696762,11.85,84,12243,0.121,0.1226,Low Risk (Safe)
900424,100424,773,2499461,Self-Employed Professional,Mahindra XUV700 (Premium SUV),2172144,10.05,72,40295,0.193,0.2327,Low Risk (Safe)
900425,100425,759,3800000,Salaried,Maruti Suzuki Swift (Hatchback),691398,10.21,60,14761,0.047,0.0663,Low Risk (Safe)
900426,100426,791,1321579,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),579002,8.65,60,11921,0.108,0.1818,Low Risk (Safe)
900427,100427,686,544891,Salaried,Maruti Suzuki Swift (Hatchback),704614,11.19,84,12135,0.267,0.2107,Low Risk (Safe)
900428,100428,760,1872336,Salaried,Honda City (Premium Sedan),1252007,9.76,84,20629,0.132,0.1084,Low Risk (Safe)
900429,100429,777,3800000,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1315758,10.01,84,21849,0.069,0.1689,Low Risk (Safe)
900430,100430,650,3800000,Salaried,Hyundai Venue (Compact SUV),922326,11.31,48,23977,0.076,0.1321,Low Risk (Safe)
900431,100431,676,1114311,Salaried,Mahindra XUV700 (Premium SUV),1746191,11.46,48,45522,0.49,0.3269,Low Risk (Safe)
900432,100432,638,2879665,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1416979,13.06,60,32284,0.135,0.2673,Low Risk (Safe)
900433,100433,717,1696502,Salaried,Toyota Innova Hycross (Hybrid MPV),2371361,11.67,60,52355,0.37,0.2476,Low Risk (Safe)
900434,100434,762,2067247,Salaried,Toyota Innova Hycross (Hybrid MPV),2449592,10.08,36,79133,0.459,0.2709,Low Risk (Safe)
900435,100435,797,3800000,Salaried,Mahindra XUV700 (Premium SUV),2007058,8.77,36,63609,0.201,0.1254,Low Risk (Safe)
900436,100436,733,958731,Self-Employed Professional,Hyundai Venue (Compact SUV),1016136,9.83,72,18737,0.235,0.2726,Low Risk (Safe)
900437,100437,803,2519464,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),661785,8.56,72,11785,0.056,0.1501,Low Risk (Safe)
900438,100438,667,2834089,Salaried,Tata Nexon EV (Electric SUV),1380736,11.44,60,30324,0.128,0.1501,Low Risk (Safe)
900439,100439,653,3800000,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1599299,11.48,72,30835,0.097,0.2412,Low Risk (Safe)
900440,100440,727,2312617,Salaried,Mahindra XUV700 (Premium SUV),2141567,9.71,60,45196,0.235,0.1754,Low Risk (Safe)
900441,100441,747,2595858,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1354415,9.98,72,25078,0.116,0.2065,Low Risk (Safe)
900442,100442,728,1766645,Salaried,Honda City (Premium Sedan),1284579,9.82,60,27179,0.185,0.1499,Low Risk (Safe)
900443,100443,636,2540876,Salaried,Maruti Suzuki Swift (Hatchback),605176,14.81,48,16784,0.079,0.1402,Low Risk (Safe)
900444,100444,725,1814361,Self-Employed Non-Professional,Toyota Innova Hycross (Hybrid MPV),2202295,10.47,60,47303,0.313,0.3153,Low Risk (Safe)
900445,100445,671,3084390,Salaried,Toyota Innova Hycross (Hybrid MPV),2562757,11.01,60,55733,0.217,0.1927,Low Risk (Safe)
900446,100446,760,1788189,Salaried,Honda City (Premium Sedan),1383831,10.29,60,29600,0.199,0.1419,Low Risk (Safe)
900447,100447,746,2696338,Salaried,Honda City (Premium Sedan),1173870,10.48,48,30043,0.134,0.1159,Low Risk (Safe)
900448,100448,687,2156302,Self-Employed Non-Professional,Toyota Innova Hycross (Hybrid MPV),2646199,11.17,84,45546,0.253,0.3032,Low Risk (Safe)
900449,100449,706,3800000,Salaried,Maruti Suzuki Swift (Hatchback),690509,11.8,48,18116,0.057,0.0963,Low Risk (Safe)
900450,100450,682,2130214,Salaried,Kia Seltos (Mid-Size SUV),1632519,12.29,48,43223,0.243,0.2006,Low Risk (Safe)
900451,100451,727,826398,Salaried,Maruti Suzuki Swift (Hatchback),602292,9.54,60,12661,0.184,0.1499,Low Risk (Safe)
900452,100452,772,3800000,Salaried,Kia Seltos (Mid-Size SUV),1628883,9.9,60,34528,0.109,0.0912,Low Risk (Safe)
900453,100453,685,1331540,Salaried,Honda City (Premium Sedan),1221198,11.6,60,26918,0.243,0.1991,Low Risk (Safe)
900454,100454,752,1529464,Self-Employed Professional,Hyundai Venue (Compact SUV),946514,9.51,72,17301,0.136,0.2141,Low Risk (Safe)
900455,100455,706,1579132,Self-Employed Non-Professional,Mahindra XUV700 (Premium SUV),1748233,12.22,60,39083,0.297,0.3163,Low Risk (Safe)
900456,100456,694,3800000,Salaried,Tata Nexon EV (Electric SUV),1251980,12.26,60,28014,0.088,0.1174,Low Risk (Safe)
900457,100457,725,676967,Salaried,Tata Nexon EV (Electric SUV),1475223,10.37,72,27605,0.489,0.3033,Low Risk (Safe)
900458,100458,683,3800000,Salaried,Hyundai Venue (Compact SUV),922785,11.76,36,30543,0.096,0.1266,Low Risk (Safe)
900459,100459,705,3800000,Salaried,Kia Seltos (Mid-Size SUV),1402202,12.04,60,31219,0.099,0.1177,Low Risk (Safe)
900460,100460,676,2477551,Self-Employed Non-Professional,Honda City (Premium Sedan),1182124,11.17,72,22603,0.109,0.2364,Low Risk (Safe)
900461,100461,818,2126117,Salaried,Honda City (Premium Sedan),1325986,8.87,36,42085,0.238,0.1341,Low Risk (Safe)
900462,100462,731,2563937,Salaried,Maruti Suzuki Swift (Hatchback),562560,10.44,60,12074,0.057,0.0845,Low Risk (Safe)
900463,100463,698,2918607,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1594561,11.65,84,27850,0.115,0.229,Low Risk (Safe)
900464,100464,739,3124761,Salaried,Toyota Innova Hycross (Hybrid MPV),2220964,9.54,60,46687,0.179,0.1417,Low Risk (Safe)
900465,100465,724,2974487,Self-Employed Professional,Hyundai Venue (Compact SUV),867127,9.97,60,18411,0.074,0.1963,Low Risk (Safe)
900466,100466,720,2301955,Salaried,Maruti Suzuki Swift (Hatchback),620435,9.9,84,10267,0.054,0.0882,Low Risk (Safe)
900467,100467,757,1965906,Self-Employed Professional,Hyundai Venue (Compact SUV),931668,9.81,48,23544,0.144,0.2158,Low Risk (Safe)
900468,100468,764,2016350,Self-Employed Non-Professional,Honda City (Premium Sedan),1231498,9.95,36,39708,0.236,0.2585,Low Risk (Safe)
900469,100469,706,1968535,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1872527,11.01,72,35651,0.217,0.2763,Low Risk (Safe)
900470,100470,704,3800000,Self-Employed Non-Professional,Toyota Innova Hycross (Hybrid MPV),2734071,11.17,72,52278,0.165,0.2512,Low Risk (Safe)
900471,100471,717,3037229,Salaried,Hyundai Venue (Compact SUV),966147,11.36,60,21180,0.084,0.1046,Low Risk (Safe)
900472,100472,626,450000,Salaried,Toyota Innova Hycross (Hybrid MPV),2188591,14.5,60,51493,1.373,0.7919,High Risk (Intervene)
900473,100473,661,3143179,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),627026,12.48,72,12415,0.047,0.2124,Low Risk (Safe)
900474,100474,791,2439015,Salaried,Hyundai Venue (Compact SUV),1017501,8.59,72,18134,0.089,0.0723,Low Risk (Safe)
900475,100475,804,2168855,Salaried,Mahindra XUV700 (Premium SUV),1863669,9.18,48,46536,0.257,0.1501,Low Risk (Safe)
900476,100476,718,1769689,Salaried,Maruti Suzuki Swift (Hatchback),576683,11.82,36,19104,0.13,0.1271,Low Risk (Safe)
900477,100477,755,3800000,Salaried,Kia Seltos (Mid-Size SUV),1577934,9.86,60,33417,0.106,0.0977,Low Risk (Safe)
900478,100478,744,3690009,Salaried,Maruti Suzuki Swift (Hatchback),653402,9.93,72,12081,0.039,0.0694,Low Risk (Safe)
900479,100479,850,1432479,Salaried,Mahindra XUV700 (Premium SUV),1987343,8.6,72,35429,0.297,0.1485,Low Risk (Safe)
900480,100480,780,2741124,Self-Employed Professional,Tata Nexon EV (Electric SUV),1255180,9.1,84,20258,0.089,0.1774,Low Risk (Safe)
900481,100481,724,1284125,Salaried,Mahindra XUV700 (Premium SUV),1789629,10.43,72,33543,0.313,0.2158,Low Risk (Safe)
900482,100482,687,1026032,Salaried,Maruti Suzuki Swift (Hatchback),655882,12.09,60,14619,0.171,0.1622,Low Risk (Safe)
900483,100483,657,1552388,Salaried,Maruti Suzuki Swift (Hatchback),593673,12.0,60,13205,0.102,0.1418,Low Risk (Safe)
900484,100484,739,3521214,Salaried,Honda City (Premium Sedan),1276221,9.61,72,23392,0.08,0.0922,Low Risk (Safe)
900485,100485,695,3701389,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),944873,12.31,72,18625,0.06,0.2029,Low Risk (Safe)
900486,100486,665,2905735,Salaried,Kia Seltos (Mid-Size SUV),1411727,11.87,60,31310,0.129,0.1516,Low Risk (Safe)
900487,100487,700,3265105,Salaried,Honda City (Premium Sedan),1409527,11.64,36,46574,0.171,0.1561,Low Risk (Safe)
900488,100488,681,2910682,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),688869,11.96,84,12145,0.05,0.2045,Low Risk (Safe)
900489,100489,805,1539833,Salaried,Hyundai Venue (Compact SUV),983922,9.13,60,20486,0.16,0.1012,Low Risk (Safe)
900490,100490,769,2778876,Salaried,Mahindra XUV700 (Premium SUV),1760877,9.51,60,36990,0.16,0.1181,Low Risk (Safe)
900491,100491,729,3403194,Salaried,Honda City (Premium Sedan),1156839,9.82,60,24477,0.086,0.0999,Low Risk (Safe)
900492,100492,796,3317958,Self-Employed Non-Professional,Honda City (Premium Sedan),1272834,9.0,60,26421,0.096,0.1734,Low Risk (Safe)
900493,100493,733,3800000,Salaried,Tata Nexon EV (Electric SUV),1290535,9.98,48,32718,0.103,0.1066,Low Risk (Safe)
900494,100494,691,3235089,Salaried,Kia Seltos (Mid-Size SUV),1654892,12.31,72,32620,0.121,0.1353,Low Risk (Safe)
900495,100495,798,2658563,Salaried,Maruti Suzuki Swift (Hatchback),586278,8.6,48,14478,0.065,0.057,Low Risk (Safe)
900496,100496,754,3800000,Salaried,Honda City (Premium Sedan),1271240,9.86,48,32156,0.102,0.0962,Low Risk (Safe)
900497,100497,683,2159556,Salaried,Honda City (Premium Sedan),1234236,11.2,60,26958,0.15,0.1536,Low Risk (Safe)
900498,100498,721,1349127,Salaried,Maruti Suzuki Swift (Hatchback),658407,10.35,72,12314,0.11,0.1157,Low Risk (Safe)
900499,100499,690,2003313,Salaried,Hyundai Venue (Compact SUV),853388,11.27,84,14733,0.088,0.1193,Low Risk (Safe)
900500,100500,667,1454690,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),627047,11.55,72,12112,0.1,0.2361,Low Risk (Safe)
900501,100501,771,1511558,Self-Employed Professional,Hyundai Venue (Compact SUV),885435,9.63,84,14530,0.115,0.1947,Low Risk (Safe)
900502,100502,815,2023855,Salaried,Kia Seltos (Mid-Size SUV),1623213,9.19,48,40540,0.24,0.1365,Low Risk (Safe)
900503,100503,667,1417165,Self-Employed Professional,Hyundai Venue (Compact SUV),833928,12.49,36,27893,0.236,0.3041,Low Risk (Safe)
900504,100504,755,1849861,Salaried,Maruti Suzuki Swift (Hatchback),699559,10.22,60,14939,0.097,0.0932,Low Risk (Safe)
900505,100505,700,773369,Salaried,Hyundai Venue (Compact SUV),1008258,12.09,48,26595,0.413,0.2771,Low Risk (Safe)
900506,100506,708,2464036,Self-Employed Professional,Honda City (Premium Sedan),1214271,11.08,72,23162,0.113,0.2233,Low Risk (Safe)
900507,100507,703,2192741,Self-Employed Professional,Mahindra XUV700 (Premium SUV),2088073,11.05,60,45451,0.249,0.2937,Low Risk (Safe)
900508,100508,691,1398067,Self-Employed Professional,Tata Nexon EV (Electric SUV),1247800,11.16,84,21470,0.184,0.2668,Low Risk (Safe)
900509,100509,732,3148967,Salaried,Maruti Suzuki Swift (Hatchback),707529,10.48,48,18108,0.069,0.09,Low Risk (Safe)
900510,100510,692,3669858,Self-Employed Non-Professional,Honda City (Premium Sedan),1282978,12.41,60,28805,0.094,0.2214,Low Risk (Safe)
900511,100511,742,905137,Salaried,Kia Seltos (Mid-Size SUV),1418648,10.45,60,30457,0.404,0.2528,Low Risk (Safe)
900512,100512,727,1440500,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),904768,9.55,48,22752,0.19,0.2529,Low Risk (Safe)
900513,100513,719,1435425,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),572460,11.36,60,12549,0.105,0.2141,Low Risk (Safe)
900514,100514,689,1306749,Salaried,Maruti Suzuki Swift (Hatchback),710902,11.77,60,15731,0.144,0.1478,Low Risk (Safe)
900515,100515,704,3458035,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),568393,11.85,60,12600,0.044,0.1907,Low Risk (Safe)
900516,100516,763,1969707,Salaried,Mahindra XUV700 (Premium SUV),2026257,9.72,60,42773,0.261,0.1714,Low Risk (Safe)
900517,100517,752,1894597,Salaried,Honda City (Premium Sedan),1257820,10.21,36,40710,0.258,0.1751,Low Risk (Safe)
900518,100518,686,727868,Salaried,Tata Nexon EV (Electric SUV),1550642,11.46,60,34071,0.562,0.3582,Low Risk (Safe)
900519,100519,734,3107968,Salaried,Kia Seltos (Mid-Size SUV),1398599,10.05,60,29750,0.115,0.1121,Low Risk (Safe)
900520,100520,763,1108377,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1413088,9.75,36,45430,0.492,0.3869,Low Risk (Safe)
900521,100521,654,2264722,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2454766,11.65,60,54171,0.287,0.3357,Low Risk (Safe)
900522,100522,754,2552432,Salaried,Toyota Innova Hycross (Hybrid MPV),2582662,9.53,48,64921,0.305,0.1977,Low Risk (Safe)
900523,100523,700,3800000,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),572701,12.23,60,12806,0.04,0.1906,Low Risk (Safe)
900524,100524,755,1066773,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),867633,9.74,48,21897,0.246,0.2677,Low Risk (Safe)
900525,100525,695,450000,Salaried,Mahindra XUV700 (Premium SUV),1823699,11.51,60,40117,1.07,0.6079,Medium Risk (Monitor)
900526,100526,648,2424454,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),673222,13.74,60,15574,0.077,0.2336,Low Risk (Safe)
900527,100527,656,3800000,Salaried,Hyundai Venue (Compact SUV),866610,11.25,60,18950,0.06,0.1213,Low Risk (Safe)
900528,100528,732,3800000,Self-Employed Professional,Tata Nexon EV (Electric SUV),1426752,10.37,72,26698,0.084,0.1975,Low Risk (Safe)
900529,100529,741,2459116,Salaried,Honda City (Premium Sedan),1189573,10.21,60,25398,0.124,0.1133,Low Risk (Safe)
900530,100530,689,1672115,Salaried,Tata Nexon EV (Electric SUV),1521836,12.2,60,34006,0.244,0.1978,Low Risk (Safe)
900531,100531,758,3415783,Salaried,Kia Seltos (Mid-Size SUV),1642264,9.59,72,30085,0.106,0.0963,Low Risk (Safe)
900532,100532,655,1282792,Self-Employed Professional,Tata Nexon EV (Electric SUV),1408602,12.38,60,31604,0.296,0.3398,Low Risk (Safe)
900533,100533,727,2847627,Salaried,Kia Seltos (Mid-Size SUV),1435808,9.67,72,26361,0.111,0.1134,Low Risk (Safe)
900534,100534,675,2893590,Salaried,Mahindra XUV700 (Premium SUV),1832666,11.15,60,39983,0.166,0.1654,Low Risk (Safe)
900535,100535,700,3800000,Salaried,Kia Seltos (Mid-Size SUV),1329923,11.88,60,29502,0.093,0.1171,Low Risk (Safe)
900536,100536,732,3800000,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1326105,9.92,72,24513,0.077,0.194,Low Risk (Safe)
900537,100537,691,2719146,Salaried,Mahindra XUV700 (Premium SUV),2025948,11.14,48,52499,0.232,0.1908,Low Risk (Safe)
900538,100538,712,1656255,Salaried,Mahindra XUV700 (Premium SUV),1970463,11.26,60,43098,0.312,0.2209,Low Risk (Safe)
900539,100539,775,2160681,Salaried,Tata Nexon EV (Electric SUV),1549033,9.63,48,39012,0.217,0.1438,Low Risk (Safe)
900540,100540,704,828198,Salaried,Maruti Suzuki Swift (Hatchback),621941,11.89,60,13800,0.2,0.1687,Low Risk (Safe)
900541,100541,767,1495405,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),666579,9.64,48,16791,0.135,0.2066,Low Risk (Safe)
900542,100542,679,1749594,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),635898,12.01,60,14148,0.097,0.229,Low Risk (Safe)
900543,100543,753,1642535,Salaried,Kia Seltos (Mid-Size SUV),1491901,10.41,72,27948,0.204,0.1476,Low Risk (Safe)
900544,100544,794,2382819,Salaried,Maruti Suzuki Swift (Hatchback),602666,9.01,72,10866,0.055,0.0539,Low Risk (Safe)
900545,100545,618,1393973,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),630742,14.35,60,14790,0.127,0.2727,Low Risk (Safe)
900546,100546,694,3800000,Salaried,Toyota Innova Hycross (Hybrid MPV),2448055,12.22,84,43503,0.137,0.1419,Low Risk (Safe)
900547,100547,755,2191537,Self-Employed Professional,Hyundai Venue (Compact SUV),980461,10.02,60,20841,0.114,0.2017,Low Risk (Safe)
900548,100548,720,2180107,Self-Employed Professional,Tata Nexon EV (Electric SUV),1547911,9.99,60,32880,0.181,0.2517,Low Risk (Safe)
900549,100549,746,1829691,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),611898,10.08,72,11360,0.075,0.1864,Low Risk (Safe)
900550,100550,702,2386539,Salaried,Honda City (Premium Sedan),1137660,12.33,72,22437,0.113,0.1261,Low Risk (Safe)
900551,100551,733,3449721,Salaried,Kia Seltos (Mid-Size SUV),1486203,9.61,72,27241,0.095,0.1026,Low Risk (Safe)
900552,100552,722,1360113,Self-Employed Non-Professional,Kia Seltos (Mid-Size SUV),1503061,10.32,48,38352,0.338,0.3292,Low Risk (Safe)
900553,100553,782,1525809,Salaried,Tata Nexon EV (Electric SUV),1293085,8.84,60,26742,0.21,0.137,Low Risk (Safe)
900554,100554,741,1854175,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1578662,9.57,72,28904,0.187,0.2448,Low Risk (Safe)
900555,100555,745,1045254,Salaried,Maruti Suzuki Swift (Hatchback),710239,10.29,60,15192,0.174,0.1364,Low Risk (Safe)
900556,100556,711,1396400,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),704366,11.54,60,15504,0.133,0.2319,Low Risk (Safe)
900557,100557,708,1686352,Salaried,Maruti Suzuki Swift (Hatchback),592065,12.19,60,13227,0.094,0.1138,Low Risk (Safe)
900558,100558,710,3544522,Salaried,Mahindra XUV700 (Premium SUV),2127667,12.14,72,41751,0.141,0.1364,Low Risk (Safe)
900559,100559,747,2531718,Salaried,Tata Nexon EV (Electric SUV),1469982,10.38,48,37551,0.178,0.1375,Low Risk (Safe)
900560,100560,711,2437477,Self-Employed Professional,Tata Nexon EV (Electric SUV),1387269,11.02,60,30176,0.149,0.2399,Low Risk (Safe)
900561,100561,743,3499021,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),643591,10.46,48,16465,0.056,0.1784,Low Risk (Safe)
900562,100562,823,2031826,Salaried,Tata Nexon EV (Electric SUV),1517868,8.93,60,31456,0.186,0.1057,Low Risk (Safe)
900563,100563,769,2716230,Salaried,Toyota Innova Hycross (Hybrid MPV),2453478,9.5,72,44836,0.198,0.1371,Low Risk (Safe)
900564,100564,715,2070349,Self-Employed Professional,Tata Nexon EV (Electric SUV),1360658,11.2,36,44675,0.259,0.293,Low Risk (Safe)
900565,100565,784,2535621,Salaried,Toyota Innova Hycross (Hybrid MPV),2461083,8.79,60,50837,0.241,0.1516,Low Risk (Safe)
900566,100566,711,1590378,Salaried,Maruti Suzuki Swift (Hatchback),649369,11.03,60,14128,0.107,0.1189,Low Risk (Safe)
900567,100567,638,573005,Salaried,Kia Seltos (Mid-Size SUV),1378677,15.03,48,38390,0.804,0.5018,Medium Risk (Monitor)
900568,100568,684,2035285,Salaried,Mahindra XUV700 (Premium SUV),2139417,11.94,60,47525,0.28,0.2181,Low Risk (Safe)
900569,100569,645,3800000,Salaried,Maruti Suzuki Swift (Hatchback),663628,15.13,48,18513,0.058,0.1255,Low Risk (Safe)
900570,100570,714,3647010,Salaried,Maruti Suzuki Swift (Hatchback),657490,11.6,60,14492,0.048,0.088,Low Risk (Safe)
900571,100571,730,3726457,Salaried,Mahindra XUV700 (Premium SUV),1770768,10.0,60,37623,0.121,0.117,Low Risk (Safe)
900572,100572,805,3800000,Salaried,Kia Seltos (Mid-Size SUV),1523960,8.5,72,27093,0.086,0.0642,Low Risk (Safe)
900573,100573,744,2300786,Salaried,Tata Nexon EV (Electric SUV),1277417,10.5,72,23988,0.125,0.1124,Low Risk (Safe)
900574,100574,720,2442477,Salaried,Hyundai Venue (Compact SUV),842313,9.99,60,17892,0.088,0.1052,Low Risk (Safe)
900575,100575,767,1560148,Salaried,Kia Seltos (Mid-Size SUV),1497058,9.68,36,48081,0.37,0.2241,Low Risk (Safe)
900576,100576,630,1841626,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1910281,15.42,84,37313,0.243,0.325,Low Risk (Safe)
900577,100577,740,3074565,Salaried,Tata Nexon EV (Electric SUV),1431807,10.31,60,30640,0.12,0.1118,Low Risk (Safe)
